date,distributed_janssen,distributed_moderna,distributed_pfizer,distributed_novavax
2022-10-12T00:00:00.000,260500,2783940,4269575,17600
2022-10-12T00:00:00.000,216100,2885820,5114730,1500
2022-10-12T00:00:00.000,465600,4518460,7335625,15900
2022-10-12T00:00:00.000,949700,10002080,15807940,31900
2022-10-12T00:00:00.000,600,25200,100110,0
2022-10-12T00:00:00.000,106300,966600,1325595,5700
2022-10-12T00:00:00.000,233000,2602760,3719755,5000
2022-10-12T00:00:00.000,101600,1105200,1692155,3600
2022-10-12T00:00:00.000,31338500,320293420,519363315,856900
2022-10-12T00:00:00.000,90600,1206700,1819125,3300
2022-10-12T00:00:00.000,53600,614720,1006580,1900
2022-10-12T00:00:00.000,329300,3867980,5282970,6300
2022-10-12T00:00:00.000,85900,724520,1097345,3900
2022-10-12T00:00:00.000,73500,846920,1305470,1800
2022-10-12T00:00:00.000,3800,30400,14090,0
2022-10-12T00:00:00.000,3700,27820,106110,200
2022-10-12T00:00:00.000,2450000,20455820,32846065,37300
2022-10-12T00:00:00.000,961200,10241220,14795590,20300
2022-10-12T00:00:00.000,188200,1461640,2749460,3400
2022-10-12T00:00:00.000,616700,6613020,10422900,11900
2022-10-12T00:00:00.000,259900,2353800,4345310,4200
2022-10-12T00:00:00.000,336800,3604880,4704880,18900
2022-10-12T00:00:00.000,528500,5785940,8977890,11600
2022-10-12T00:00:00.000,614500,6609860,12388510,22000
2022-10-12T00:00:00.000,401700,4871660,5986980,18700
2022-10-12T00:00:00.000,2658000,25926240,43972585,80000
2022-10-12T00:00:00.000,799500,8339400,14564685,21300
2022-10-12T00:00:00.000,509500,5502520,9834240,9300
2022-10-12T00:00:00.000,190100,2099700,3106245,4900
2022-10-12T00:00:00.000,151900,1657280,3028760,4400
2022-10-12T00:00:00.000,157800,1646720,2492930,5600
2022-10-12T00:00:00.000,1005200,9390740,15904675,28200
2022-10-12T00:00:00.000,1180100,11558440,20765935,20500
2022-10-12T00:00:00.000,24300,98780,231080,300
2022-10-12T00:00:00.000,3100,44240,115320,200
2022-10-12T00:00:00.000,12800,72800,55880,1100
2022-10-12T00:00:00.000,16200,169220,199710,0
2022-10-12T00:00:00.000,858300,9893200,15000355,30600
2022-10-12T00:00:00.000,210700,2381140,4680570,27800
2022-10-12T00:00:00.000,111300,1524880,1915415,6400
2022-10-12T00:00:00.000,455800,5305600,8467545,16700
2022-10-12T00:00:00.000,262200,3110220,4094560,23800
2022-10-12T00:00:00.000,1945100,19098880,33530715,21900
2022-10-12T00:00:00.000,255400,2456760,4736990,5400
2022-10-12T00:00:00.000,12800,121240,112960,0
2022-10-12T00:00:00.000,626200,5698200,10112380,5900
2022-10-12T00:00:00.000,352300,4128580,6130645,6700
2022-10-12T00:00:00.000,93200,891500,1337565,2500
2022-10-12T00:00:00.000,463500,5217540,6914435,41700
2022-10-12T00:00:00.000,292600,3090820,4784735,12900
2022-10-12T00:00:00.000,1006400,10231940,16597915,20000
2022-10-12T00:00:00.000,391100,4364100,5982675,9500
2022-10-12T00:00:00.000,49200,496740,606145,2000
2022-10-12T00:00:00.000,773600,7921100,13309895,23900
2022-10-12T00:00:00.000,159600,1621480,2395110,13500
2022-10-12T00:00:00.000,170500,1974320,2769425,7000
2022-10-12T00:00:00.000,628600,7842080,12164090,8300
2022-10-05T00:00:00.000,390600,4320700,5917475,9400
2022-10-05T00:00:00.000,1179200,11411040,20523635,20100
2022-10-05T00:00:00.000,625800,5617600,10016080,5900
2022-10-05T00:00:00.000,455400,5205200,8355645,16600
2022-10-05T00:00:00.000,336400,3584180,4668980,18700
2022-10-05T00:00:00.000,329300,3839180,5263270,6200
2022-10-05T00:00:00.000,1943600,18910780,33195215,20000
2022-10-05T00:00:00.000,3800,30400,14090,0
2022-10-05T00:00:00.000,90300,1189500,1795225,3300
2022-10-05T00:00:00.000,215800,2870920,5106830,1400
2022-10-05T00:00:00.000,12800,120740,112960,0
2022-10-05T00:00:00.000,12800,72300,52580,1100
2022-10-05T00:00:00.000,600,25200,100110,0
2022-10-05T00:00:00.000,124800,1561320,2422860,3000
2022-10-05T00:00:00.000,628400,7705880,11959090,8000
2022-10-05T00:00:00.000,24300,97680,229280,100
2022-10-05T00:00:00.000,857500,9814300,14912155,30300
2022-10-05T00:00:00.000,352200,4062680,6067545,6700
2022-10-05T00:00:00.000,93000,885400,1324865,2500
2022-10-05T00:00:00.000,16200,167420,199410,0
2022-10-05T00:00:00.000,773500,7835800,13112595,23500
2022-10-05T00:00:00.000,2446900,20215920,32632965,34500
2022-10-05T00:00:00.000,85800,717820,1079045,3800
2022-10-05T00:00:00.000,101600,1089600,1669055,3600
2022-10-05T00:00:00.000,259800,2756840,4237775,17600
2022-10-05T00:00:00.000,1559100,14062520,21478565,37300
2022-10-05T00:00:00.000,157700,1626820,2451430,5600
2022-10-05T00:00:00.000,1006300,10147440,16440415,19900
2022-10-05T00:00:00.000,3600,27820,106110,200
2022-10-05T00:00:00.000,799000,8262800,14423485,21000
2022-10-05T00:00:00.000,3770400,38139680,64613505,108900
2022-10-05T00:00:00.000,106300,955100,1308595,5700
